ID,Date (Activities),Type (Activities),Action (Activities),Notes (Activities)
607,04/04/2012,Regular,Accepted,REST PER MMR 01/08/11 - CIR. 02/20/11 (ann); 
607,02/12/2016,Regular,Accepted,DECEASED (51) 12/06/15 PER 2015 AR [JEN];
607,03/08/2016,Regular,Accepted,DECEASED (51) PER MMR 12/12/15 - CIR. 02/10/16 [JEN];
1526,03/11/2013,Regular,Accepted,SNPD (51) PER MMR 01/12/13 - CIR. 02/28/13 [JEN];
1526,08/05/2019,Regular,Accepted,RESTORED [51] MMR 05/18/19- CIR. 08/10/19 [JOEL]
1535,07/02/2010,Regular,Accepted,REST (31) 04/10/10 PER MMR 04/10/10 - CIR. 05/20/10 (ann); 
1535,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
1535,10/18/2013,Regular,Accepted,REST (31) PER MMR 09/28/13 - CIR. 10/10/13 [EN];
1535,02/02/2015,Regular,Accepted,SNPD (31) 12/20/14 PER 2014 AR; PER MMR 12/20/14 - CIR. 02/20/15  [JEN];
1542,05/12/2022,Regular,Accepted,RESTORED [31] PER 2021 A/R [JOEL]
2040,10/27/2018,Regular,Accepted,LML CERT & PIN (51) ISSUED PER SI# 199931 DTD 08/28/18 [MENG];
2197,01/21/2016,Regular,Accepted,SNPD (51) PER MMR 09/12/15 - CIR. 12/10/15 [JEN];
2761,01/05/2017,Regular,Accepted,REST (31) PER MMR 11/26/16 - CIR. 12/10/16 [JEN];
2761,03/14/2017,Regular,Accepted,UPDATE RECORD (CHANGE OF ADD) FOR GLP MEMBERS UPDATE FORM [JEN];
2761,03/14/2017,Regular,Accepted,UPDATE RECORD (ADD CHILD) FOR GLP MEMBERS UPDATE FORM [JEN];
3641,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
3647,02/27/2013,Regular,Accepted,REST (15) PER MMR 02/02/13 - CIR. 02/20/13 [JEN];
3647,04/20/2023,Regular,Accepted,DESEASED [15] MMR 03/2023 CIR. 04/20/2023  [JOEL]
3651,02/18/2015,Regular,Accepted,REST (15) PER MMR JAN 2015 - CIR. 02/10/15 [JEN];
3651,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
3722,12/07/2012,Regular,Accepted,DECEASED (69) PER MMR 07/07/12 - CIR. 11/10/12 [JEN];
3918,07/06/2015,Regular,Accepted,RESTORED (15) PER EDICT NO. 233-P OF MW RENTOY DTD 06/23/15 [JEN];
3918,02/16/2016,Regular,Accepted,REST (15) PER MMR 08/01/15 - CIR. 01/30/16 [JEN];
3918,09/01/2020,Regular,Accepted,WM [15] 1999 PER 2018 A/R [JOEL]
3918,11/04/2020,Regular,Accepted,DECEASED [15] MMR 07/31/2020 CIR. 11/10/2020 [JOEL]
3919,\N,Regular,Accepted,REST (15) PER RESOLUTION DTD 09/03/11 - CIRC. 10/30/11 [JEN];
3919,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
4030,01/12/2012,Regular,Accepted,"MM CERT (51) ISSUED PER SI # 145771 DTD 11/04/11, PROF EXAM 2006 [ann]; "
4030,07/04/2014,Regular,Accepted,MM CERT (51) ISSUED PER SI# 174092 DTD 06/05/14 [JEN];
4030,08/30/2018,Regular,Accepted,DECEASED(51) MMR 01/13/18- CIR. 08/30/18(JOEL)
4243,02/16/2011,Regular,Accepted,"CORRECTED NAME FRM ""EDGARDO-EDIGARDO"" PER GOVERNMENT ISSUED IDS PHOTOCOPY 02/15/10 (ann); "
4281,05/15/2012,Regular,Accepted,District Grand Lecturer - R-IV-A- 2012 (jho);
4281,07/19/2013,Regular,Accepted,GLI (51) 2013 [hazel].;
4353,03/11/2013,Regular,Accepted,SNPD (51) PER MMR 01/12/13 - CIR. 02/28/13 [JEN];
4353,11/28/2024,Regular,Accepted,RESTORED [ 51 ] MMR 10/2024 CIR 11/30/2024 [JOEL]
4354,03/13/2017,Regular,Accepted,SNPD (51) PER MMR 12/10/16 - CIR. 03/20/17 [JEN];
4354,07/06/2017,Regular,Accepted,REST (51) PER MMR 04/01/17 - CIR. 06/30/17 [JEN];
4354,11/29/2019,Regular,Accepted,SNPD [51] MMR 10/19/19- CIR. 11/30/19 [JOEL]
4354,02/27/2020,Regular,Accepted,SNPD [51] A/R 2019 [MON]
4391,\N,Regular,Accepted,SNPD (69) PER 2010 AR [ann]; 
4391,03/01/2016,Regular,Accepted,DECEASED (69) 11/14/15 PER 2015 AR [JEN];
