ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
1526,RESTORED,05/18/2019,,,,,,
1535,RESTORED,09/28/2013,,,,,,
2472,,,DUAL LODGE,2,,,,
3194,,,CHARTER LODGE,285,,,,
3641,RESTORED,04/04/2009,,,,,,
3647,RESTORED,02/02/2013,,,,,,
3651,RESTORED,01/03/2015,,,,,,
3721,,,DUAL LODGE,2,,,,
3722,,,DUAL LODGE,269,,,,
3916,EXPELLED,09/07/2006,,,,,,
3918,EXPELLED,09/07/2006,,,,,,
3919,SNPD,03/01/2025,,,,,,
4169,,,DUAL LODGE,46,06/14/1997,,,
4352,,,DUAL LODGE,26,,,,
4353,RESTORED,10/12/2024,,,,,,
4354,RESTORED,03/11/2017,,,,,,
4397,,,CHARTER LODGE,346,,,,
4714,,,DUAL LODGE,2,,,,
4823,,,DUAL LODGE,332,,,,
4885,,,DUAL LODGE,8,,,,
5544,RESTORED,02/01/2014,,,,,,
5573,RESTORED,01/25/2020,,,,,,
5909,,,DUAL LODGE,17,,,,
6587,,,DUAL LODGE,2,,,,
6588,,,DUAL LODGE,165,,,,
7697,,,DUAL LODGE,15,,,,
7699,,,DUAL LODGE,2,,,,
7700,SNPD,12/06/1969,,,,,,
7701,,,DUAL LODGE,17,,,,
7712,,,DUAL LODGE,17,,,,
7736,,,DUAL LODGE,165,,,,
7753,RESTORED,11/07/2021,,,,,,
7760,SNPD,07/12/2014,,,,,,
7771,,,DUAL LODGE,17,,,,
7805,SNPD,12/19/1993,,,,,,
7822,,,DUAL LODGE 2,5,,,,
7850,EXPELLED,09/07/2006,,,,,,
7867,EXPELLED,09/07/2006,,,,,,
7927,RESTORED,12/07/2019,,,,,,
7952,SNPD,12/31/1984,,,,,,
7975,EXPELLED,09/07/2006,,,,,,
8013,,,DUAL LODGE,15,,,,
8032,,,DUAL LODGE,81,,,,
8049,,,CHARTER LODGE,300,,,,
8050,RESTORED,12/06/2014,,,,,,
8075,,,DUAL LODGE,173,06/15/1984,,,
8077,SNPD,12/31/1989,,,,,,
8108,RESTORED,03/05/2018,,,,,,
8111,,,DUAL LODGE,50,04/13/2013,,,
8113,OTHER SNPD,07/21/2006,,,,,,
8119,,,CHARTER LODGE,300,,,,
8140,EXPELLED,09/07/2006,,,,,,
8145,EXPELLED,09/07/2006,,,,,,
8146,,,CHARTER LODGE,300,,,,
8161,EXPELLED,09/07/2006,,,,,,
8165,RESTORED,08/12/2017,,,,,,
8169,EXPELLED,09/07/2006,,,,,,
8172,EXPELLED,09/07/2006,,,,,,
8178,SNPD,06/04/2016,,,,,,
8179,SNPD,06/04/2016,,,,,,
8203,,,CHARTER LODGE,282,,,,
8222,SNPD,12/17/2016,,,,,,
8248,,,DUAL LODGE,165,,,,
8263,,,CHARTER LODGE,300,,,,
8271,EXPELLED,09/07/2006,,,,,,
8286,RESTORED,04/04/2009,,,,,,
8302,,,DUAL LODGE,183,12/16/1983,,,
8312,EXPELLED,09/07/2006,,,,,,
8352,RESTORED,07/06/2013,,,,,,
8504,,,DUAL LODGE,17,,,,
9659,,,DUAL LODGE,31,,,,
9717,,,DUAL LODGE,366,,,,
10317,,,DUAL LODGE,22,,,,
11671,,,DUAL LODGE,27,,,,
11683,,,DUAL LODGE,27,,,,
12332,RESTORED,06/08/2024,,,,,,
12378,,,DUAL LODGE,27,,,,
12388,,,DUAL LODGE,285,12/09/2008,,,
12431,RESTORED,07/17/2009,,,,,,
12434,,,CHARTER LODGE,300,,,,
12435,,,CHARTER LODGE,285,,,,
12493,,,DUAL LODGE,200,,,,
12503,EXPELLED,09/11/2006,,,,,,
12512,RESTORED,04/25/2011,,,,,,
12519,,,DUAL LODGE,165,04/21/1979,,,
12537,,,DUAL LODGE,300,,,,
12976,RESTORED,07/15/2017,,,,,,
12978,,,DUAL LODGE,17,,,,
12988,,,CHARTER LODGE,346,,,,
12996,RESTORED,04/25/2011,,,,,,
13010,RESTORED,03/22/2014,,,,,,
13018,,,DUAL LODGE,165,,,,
13021,SNPD,12/31/1999,,,,,,
13030,SNPD,12/31/1993,,,,,,
13034,RESTORED,03/22/2014,,,,,,
13066,RESTORED,02/27/2017,,,,,,
13086,SNPD,12/31/1999,,,,,,
13088,,,CHARTER LODGE,346,,,,
13106,,,DUAL LODGE,165,,,,
13107,,,DUAL LODGE,165,,,,
13108,,,DUAL LODGE,173,12/19/1986,,,
13123,,,DUAL LODGE,31,,,,
13137,,,DUAL LODGE,31,,,,
13164,EXPELLED,09/20/2006,,,,,,
13177,RESTORED,09/28/2013,,,,,,
13197,,,DUAL LODGE,184,,,,
13227,RESTORED,07/24/2010,,,,,,
13231,,,CHARTER LODGE,285,,,,
13285,RESTORED,08/28/2010,,,,,,
13305,,,CHARTER LODGE,282,,,,
13323,,,DUAL LODGE,69,,,,
