ID,Date (Masonic Timeline),Type (Masonic Timeline),Details (Masonic Timeline),Additional Information (Masonic Timeline)
3918,2018,LO,AUDITOR,AUD(129) 2018ER (JOEL);
3918,2019,LO,AUDITOR,AUD(129) E/R 2019[CATH]
4030,2007,LO,JW,JW (51) 2007 ER;
4030,2008,LO,SW,SW (51) 2008 ER;
4030,2009,LO,WM,WM(51) 2009 ER;
4353,2009,LO,SW,SW(323) 2009 ER;
4354,2009,LO,JW,JW(51) 2009 ER;
4354,2010,LO,SW,SW (51) 2010 ER (ann04/07/10); 
4397,2015,LO,AUDITOR,AUD (69) 2015 ER [JEN];
4823,2008,LO,AUDITOR,AUD. (332) 2008 ER;
4823,2009,LO,AUDITOR,AUD(332) 2009 ER;
4823,2014,LO,AUDITOR,AUD (15) ER 2014 [JEN]; 
4823,2015,LO,AUDITOR,AUD (15) 2015 ER [JEN];
7735,2008,LO,SW,SW (165) 2008 ER;
7735,2009,LO,WM,WM(165) 2009 ER;
7771,2007,LO,AUDITOR,AUD (17) 2007 ER;
7850,2016,LO,TREASURER,TREAS (15) 2016 ER [JEN];
13010,2007,LO,SW,SW (31) 2007 ER;
13010,2017,LO,SW,SW (31) 2017 ER [JEN];
13010,2018,LO,WM,WM(31) 2018ER (JOEL);
13010,2019,LO,SECRETARY,SEC(31) E/R 2019 [CATH]
13063,2010,LO,SECRETARY,SEC (31) 2010 ER (ann04/14/10); 
13437,2019,LO,TREASURER,TREAS(31) E/R 2019 [CATH]
13437,2020,LO,TREASURER,TREASURER [31] E/R 2020 [MON]
13526,2012,LO,WM,WM (31) 2012 ER [JEN];
13526,2014,LO,AUDITOR,AUD (31) 2014 ER [JEN];
21533,2014,LO,TREASURER,TREAS (69) ER 2014 [JEN]; 
21533,2015,LO,TREASURER,TREAS (69) 2015 ER [JEN];
21533,2018,LO,TREASURER,TREAS(441) 2018 E/R [JOEL]
21533,2019,LO,TREASURER,TREAS(441)E/R2019[JOAN]
21533,2020,LO,TREASURER,TREASURER [441] E/R 2020 [MON]
21533,2022,LO,TREASURER,Treasurer [441] Er 2022  [lara]
21868,2007,LO,JW,JW (69) 2007 ER;
23127,2009,LO,JW,JW(378) 2009 ER;
23127,2010,LO,SW,SW (378) 2010 ER (ann04/15/10); 
23127,2011,LO,WM,WM (378) 2011 ER [ann]; 
23127,2012,LO,AUDITOR,AUD (378) ER 2012 (fav 04/18/2012);
23127,2013,LO,AUDITOR,AUD (378) 2013 ER [JEN];
23127,2014,LO,AUDITOR,AUD (378) 2014 ER [JEN];
23127,2020,LO,SECRETARY,SEC [448] 2020 E/R [JOEL]
