ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
438,SNPD,12/09/2000,,,,,,
440,SNPD,06/13/1998,,,,,,
459,SNPD,12/31/1997,,,,,,
604,SNPD,12/08/2001,,,,,,
607,RESTORED,01/08/2011,,,,,,
1526,SNPD,01/05/2013,,,,,,
1531,SNPD,12/31/2001,,,,,,
1532,SNPD,12/31/1993,,,,,,
1533,SNPD,12/31/2001,,,,,,
1535,SNPD,12/20/2014,,,,,,
1536,SNPD,12/31/1999,,,,,,
1539,SNPD,12/31/1993,,,,,,
1540,SNPD,12/31/1993,,,,,,
1541,SNPD,12/31/2001,,,,,,
2040,PM,1998,,,,,,
2196,SNPD,12/14/2002,,,,,,
2197,SNPD,12/12/1998,,,,,,
2202,SNPD,11/09/1996,,,,,,
2208,SNPD,12/31/1992,,,,,,
2214,SNPD,12/11/1999,,,,,,
2217,SNPD,07/17/1997,,,,,,
2222,SNPD,12/08/2001,,,,,,
2472,PM,1972,,,,,,
2761,RESTORED,10/22/2016,,,,,,
2762,SNPD,12/31/1995,,,,,,
2763,M,1974,,,,,,
3194,SNPD,12/31/1992,,,,,,
3586,,,DUAL LODGE,49,,,,
3639,SNPD,12/31/1996,,,,,,
3641,SNPD,03/01/2025,,,,,,
3642,SNPD,12/31/1992,,,,,,
3643,SNPD,12/31/1992,,,,,,
3644,SNPD,12/31/1998,,,,,,
3645,SNPD,12/31/1992,,,,,,
3646,SNPD,12/31/1992,,,,,,
3647,SNPD,12/31/1992,,,,,,
3648,SNPD,12/31/1992,,,,,,
3651,SNPD,03/01/2025,,,,,,
3652,SNPD,12/01/2001,,,,,,
3720,,,CHARTER LODGE 2,300,,,,
3721,PM,1964,,,,,,
3722,PM,1983,,,,,,
3915,EXPELLED,09/07/2006,,,,,,
3916,PM,2001,,,,,,
3917,PM,2002,,,,,,
3918,RESTORED,08/01/2015,,,,,,
3919,PM,1998,,,,,,
4029,SNPD,12/09/2000,,,,,,
4168,SNPD,12/08/2001,,,,,,
4169,SNPD,12/12/1998,,,,,,
4170,SNPD,11/09/1996,,,,,,
4241,SNPD,12/31/1998,,,,,,
4290,SNPD,12/31/2001,,,,,,
4352,SNPD,12/14/2002,,,,,,
4353,SNPD,01/05/2013,,,,,,
4354,SNPD,11/09/2019,,,,,,
4385,SNPD,12/31/1992,,,,,,
4386,SNPD,12/31/1992,,,,,,
4387,SNPD,12/31/1992,,,,,,
4388,SNPD,12/31/1992,,,,,,
4389,SNPD,12/31/1992,,,,,,
4390,SNPD,12/31/1992,,,,,,
4392,SNPD,12/31/1992,,,,,,
4393,SNPD,12/31/2002,,,,,,
4394,SNPD,12/31/2001,,,,,,
4396,SNPD,12/31/2001,,,,,,
4397,PM,2000,,,,,,
4714,PM,1970,,,,,,
4823,PM,2005,,,,,,
4885,PM,1977,,,,,,
5509,SNPD,12/31/1995,,,,,,
5510,SNPD,12/31/1998,,,,,,
5511,SNPD,12/31/1988,,,,,,
5513,SNPD,12/31/1998,,,,,,
5514,SNPD,12/31/1997,,,,,,
5517,SNPD,12/31/1998,,,,,,
5520,SNPD,12/31/1992,,,,,,
5521,,,DUAL LODGE,183,,,,
5523,SNPD,06/04/2016,,,,,,
5528,M,1950,,,,,,
5530,SNPD,01/31/1991,,,,,,
5531,SNPD,01/31/1991,,,,,,
5532,SNPD,12/31/1995,,,,,,
5534,SNPD,01/31/1991,,,,,,
5535,SNPD,12/31/1991,,,,,,
5536,SNPD,01/31/1991,,,,,,
5537,SNPD,01/31/1991,,,,,,
5538,SNPD,01/31/1991,,,,,,
5539,SNPD,01/31/1991,,,,,,
5541,SNPD,12/31/1991,,,,,,
5542,SNPD,01/31/1991,,,,,,
5543,SNPD,01/31/1991,,,,,,
5544,SNPD,03/01/2025,,,,,,
5545,SNPD,01/31/1991,,,,,,
5546,SNPD,01/31/1991,,,,,,
5547,SNPD,01/31/1991,,,,,,
5548,SNPD,12/31/1997,,,,,,
5549,SNPD,01/31/1991,,,,,,
5550,SNPD,01/31/1991,,,,,,
5551,SNPD,12/31/1995,,,,,,
5552,SNPD,01/31/1991,,,,,,
5553,SNPD,01/31/1991,,,,,,
5554,SNPD,01/31/1991,,,,,,
5555,SNPD,01/31/1991,,,,,,
5556,SNPD,01/31/1991,,,,,,
5557,SNPD,01/31/1991,,,,,,
5558,SNPD,01/31/1991,,,,,,
5560,SNPD,01/31/1991,,,,,,
5561,SNPD,12/31/2004,,,,,,
5562,SNPD,01/31/1988,,,,,,
5563,SNPD,01/31/1991,,,,,,
5564,RESTORED,04/04/2009,,,,,,
5565,SNPD,01/31/1991,,,,,,
5568,SNPD,12/31/1997,,,,,,
5569,SNPD,01/31/1991,,,,,,
5572,SNPD,12/31/1994,,,,,,
5573,SNPD,12/31/1996,,,,,,
5574,SNPD,12/31/1995,,,,,,
5909,SNPD,12/31/1992,,,,,,
6587,PM,1965,,,,,,
6588,PM,1963,,,,,,
7684,SNPD,12/31/1986,,,,,,
7686,SNPD,12/06/1975,,,,,,
7689,SNPD,12/31/1988,,,,,,
7692,SNPD,12/31/1976,,,,,,
7693,SNPD,12/31/1988,,,,,,
7694,SNPD,12/31/1989,,,,,,
7695,SNPD,12/31/1971,,,,,,
7696,SNPD,06/04/1983,,,,,,
7697,PM,1955,,,,,,
7698,SNPD,06/04/2016,,,,,,
7699,M,1974,,,,,,
7700,M,1933,,,,,,
7701,PM,1953,,,,,,
7703,SNPD,12/31/1989,,,,,,
7704,SNPD,12/31/1985,,,,,,
7707,SNPD,12/31/1988,,,,,,
7709,SNPD,12/31/1988,,,,,,
7710,SNPD,12/31/1986,,,,,,
7712,SNPD,12/31/1984,,,,,,
7713,,,DUAL LODGE,17,,,,
7714,SNPD,12/31/1988,,,,,,
7715,SNPD,12/06/1975,,,,,,
7716,SNPD,12/06/1969,,,,,,
7717,SNPD,06/04/1983,,,,,,
7718,SNPD,12/31/1989,,,,,,
7720,SNPD,12/31/1998,,,,,,
7722,SNPD,12/31/1986,,,,,,
7723,SNPD,06/04/2016,,,,,,
7724,SNPD,12/30/1972,,,,,,
7726,SNPD,12/06/1969,,,,,,
7727,SNPD,12/31/1989,,,,,,
7728,SNPD,12/31/1976,,,,,,
7730,SNPD,12/31/1985,,,,,,
7731,SNPD,12/31/1986,,,,,,
7733,SNPD,06/04/2016,,,,,,
7734,SNPD,12/31/1989,,,,,,
7735,,,DUAL LODGE,165,08/29/2002,,,
7736,PM,1982,,,,,,
7737,SNPD,12/31/1986,,,,,,
7738,SNPD,12/31/1987,,,,,,
7739,PM,1984,,,,,,
7740,SNPD,12/31/1988,,,,,,
7742,SNPD,12/31/1985,,,,,,
7743,SNPD,12/06/1975,,,,,,
7744,SNPD,12/31/1988,,,,,,
7745,SNPD,06/04/1983,,,,,,
7746,SNPD,12/31/1981,,,,,,
7747,SNPD,12/31/1978,,,,,,
7749,SNPD,12/31/1986,,,,,,
7750,SNPD,12/31/1988,,,,,,
7752,SNPD,12/31/1979,,,,,,
7753,SNPD,06/04/1983,,,,,,
7755,SNPD,12/31/1981,,,,,,
7756,SNPD,12/31/1988,,,,,,
7758,SNPD,12/31/1974,,,,,,
7759,M,1949,,,,,,
7760,PM,1973,,,,,,
7761,SNPD,12/31/1986,,,,,,
7763,SNPD,12/31/1981,,,,,,
7764,SNPD,12/31/1988,,,,,,
7765,SNPD,12/31/1981,,,,,,
7766,SNPD,12/31/1988,,,,,,
7767,SNPD,12/31/1988,,,,,,
7768,SNPD,12/31/1989,,,,,,
7769,SNPD,10/02/1986,,,,,,
7770,SNPD,12/07/1968,,,,,,
7771,PM,1981,,,,,,
7772,SNPD,12/31/1989,,,,,,
7773,DEMITTED,06/06/2003,,,,,,
7774,SNPD,06/04/1983,,,,,,
7775,SNPD,12/31/1989,,,,,,
7776,SNPD,12/31/1989,,,,,,
7779,SNPD,06/04/2016,,,,,,
7780,SNPD,12/31/1979,,,,,,
7781,SNPD,12/06/1969,,,,,,
7782,SNPD,12/06/1969,,,,,,
7783,SNPD,12/31/1988,,,,,,
7784,M,,,,,,,
7786,SNPD,12/31/1986,,,,,,
7787,SNPD,12/31/1985,,,,,,
7788,SNPD,12/31/1988,,,,,,
7789,SNPD,12/31/1997,,,,,,
7790,SNPD,12/31/1989,,,,,,
7791,SNPD,12/31/1986,,,,,,
7793,SNPD,12/31/1997,,,,,,
7794,SNPD,08/31/1984,,,,,,
7795,SNPD,12/31/1985,,,,,,
7796,SNPD,06/04/1983,,,,,,
7797,SNPD,12/30/1972,,,,,,
7799,SNPD,08/31/1984,,,,,,
7800,SNPD,12/06/1975,,,,,,
7801,SNPD,12/31/1981,,,,,,
7803,SNPD,12/31/1981,,,,,,
7804,SNPD,06/04/2016,,,,,,
7805,M,1963,,,,,,
7806,SNPD,12/31/1984,,,,,,
7808,SNPD,12/06/1975,,,,,,
7810,SNPD,08/31/1984,,,,,,
7811,SNPD,12/31/1996,,,,,,
7813,SNPD,12/31/1985,,,,,,
7815,SNPD,12/31/1985,,,,,,
7816,SNPD,12/31/1984,,,,,,
7818,RESTORED,04/04/2009,,,,,,
7819,SNPD,12/31/1997,,,,,,
7820,SNPD,12/06/1975,,,,,,
7822,SNPD,12/01/2001,,,,,,
7823,SNPD,12/31/1985,,,,,,
7825,SNPD,12/31/1984,,,,,,
7826,SNPD,12/31/1979,,,,,,
7830,SNPD,12/31/1984,,,,,,
7831,SNPD,12/31/1984,,,,,,
7832,SNPD,12/31/1988,,,,,,
7833,SNPD,12/31/1988,,,,,,
7834,SNPD,12/31/1981,,,,,,
7835,SNPD,12/31/1986,,,,,,
7838,SNPD,12/30/1972,,,,,,
7839,SNPD,12/31/1989,,,,,,
7841,SNPD,12/31/1986,,,,,,
7842,SNPD,12/31/1981,,,,,,
7843,SNPD,12/31/1986,,,,,,
7848,SNPD,11/05/1983,,,,,,
7850,RESTORED,08/01/2015,,,,,,
7851,SNPD,12/31/1984,,,,,,
